lv1,lv2,lv3,lv4
1375.129826490851,1451.8599035777538,1517.5414418641074,1553.228177250647
1381.0586001514032,1452.4133947462167,1536.026570154902,1555.9842976552768
1378.332727104101,1452.303095850571,1527.7094294815151,1554.5063883372102
1377.5214478227904,1452.2404878593265,1525.1242034714749,1554.2132220083788
1374.5043249451621,1452.2589840835947,1515.694999194916,1554.047848744898
1373.8408271410483,1451.837257974079,1513.626669872822,1553.1801394750219
1379.4085539547218,1450.1666938862293,1529.1379956576466,1551.891040602546
1378.905034840789,1450.6803005377267,1528.2610830155909,1552.1701337418763
1373.7867560879922,1449.12691209801,1512.9946006788005,1548.2248937238624
1376.4377393236082,1450.5674317720352,1521.0607137026113,1551.0264847495637
1378.8526430533245,1451.6965607512614,1528.912960608021,1553.6364725378144
1380.8234532507358,1449.824097121317,1532.0991990718917,1553.0612313880674
1379.8199630100833,1452.6725392234925,1532.6047717128708,1555.6646368270353
1377.4724871835128,1450.3316731439138,1523.946806388278,1550.9798788692854
1376.587091667353,1451.7025294884813,1521.9835469608677,1553.0464821303938
1373.2110564910831,1449.4333428939606,1511.4595056620487,1548.6738603943456
1380.5109303346078,1450.1489762568704,1531.8356996220803,1552.9396949171423
1375.0387298913683,1448.8821555752138,1516.3813806237738,1548.0807048744718
1376.156559011493,1450.7567818143073,1520.3092998798124,1551.2838464151698
1376.0070897205158,1450.4170345006437,1519.7321112581678,1550.68343260521
1379.0167442581273,1452.4424049521758,1529.9382630459138,1554.9592221798387
1374.1303181186877,1452.1372075275492,1514.5364633632284,1553.7989982393096
1376.0666786069849,1450.0848117959529,1519.766586346019,1550.1597690531426
1378.913625521706,1451.5070184376582,1528.9530544444392,1553.36472870148
1374.3385766277624,1448.8051331840134,1514.43007739149,1547.8124070722579
1379.9521672425674,1451.7822977336282,1532.21798082667,1554.331068601748
1377.8673274908385,1449.048241539038,1524.1245934833723,1549.50568539681
1373.556679737602,1450.8233053486767,1512.6576693145082,1551.172835349671
1378.3488988285972,1450.952166606441,1526.8892471271085,1552.2671884909385
1377.2605264744125,1452.3970742587608,1524.3670766024295,1554.4754250834176
1379.7077590094511,1452.3166732964075,1531.9719318016105,1555.018042058265
1377.855985132848,1451.9942617444183,1526.0501405088978,1553.8246425571451
